Status Checking,Credit History,Purpose,Savings Account,Employement since,Installmentrate %,Other debtors,PresentResidence,Property,Age in years,Otherinstallment Plans,Housing,Number existing Credits,Job,Number people liable,Telephone,Foreign Worker,Target,Credit Amount per Month,Sex,Status
no checking account,existing credits paind back duly till now,car (used),500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",24,None,own,1,skilled employee /official,1,None,yes,0,65.87179487179488,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",25,bank,own,1,skilled employee /official,1,None,yes,0,214.66666666666666,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,business,100 less than or equal and < 500DM,4 less than and equal and less than 7 years,3,None,4,real estate,39,None,own,1,unskilled-resident,1,None,yes,0,86.41666666666667,male , single
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",44,None,own,2,skilled employee /official,2,"yes, registered under the customers name",yes,0,98.53333333333333,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,less than 100DM,1 less than or equal and less than 4 years,1,None,1,real estate,23,None,own,1,unskilled-resident,1,None,yes,0,297.75,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,4,None,1,if not real estate : building society savings agreement/life insurance,26,None,own,1,skilled employee /official,1,None,yes,0,50.041666666666664,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,bigger than or equal 1000 DM,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,57,None,rent,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,120.73333333333333,female , divorced/separated/married
no checking account,delay in paying off in the past,furniture/equipment,bigger than or equal 1000 DM,4 less than and equal and less than 7 years,3,None,2,if not real estate : building society savings agreement/life insurance,30,None,own,2,skilled employee /official,1,None,yes,0,64.0,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (new),500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,4,None,4,real estate,44,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,96.91666666666667,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,car (new),less than 100DM,unemployed,4,None,4,if not real estate : building society savings agreement/life insurance,47,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,201.5,male , single
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",52,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,256.4166666666667,male , single
no checking account,existing credits paind back duly till now,car (new),less than 100DM,bigger than or equal 7 years,4,co-applicant,4,unknown/no property,62,None,for free,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,156.54166666666666,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,1 less than or equal and less than 4 years,3,None,2,real estate,35,None,rent,1,unskilled-resident,1,None,no,0,141.8,male , single
no checking account,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,2,guarantor,3,if not real estate : building society savings agreement/life insurance,26,None,rent,1,skilled employee /official,1,None,yes,0,586.3333333333334,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,bigger than or equal 7 years,2,None,2,unknown/no property,26,None,own,2,skilled employee /official,1,None,yes,0,161.16666666666666,male , single
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,business,less than 100DM,bigger than or equal 7 years,2,None,4,unknown/no property,42,None,for free,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,308.0740740740741,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),radio/television,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,1,None,1,if not real estate : building society savings agreement/life insurance,27,None,own,2,skilled employee /official,1,None,yes,0,206.16666666666666,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,38,None,own,1,skilled employee /official,1,None,yes,0,61.333333333333336,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,3,None,2,real estate,39,None,rent,2,unskilled-resident,2,None,no,0,176.83333333333334,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,unknown / no savings account,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",20,None,own,1,skilled employee /official,1,None,yes,1,124.83333333333333,male , married/windowed
0 less than or equal and less than 200 DM,existing credits paind back duly till now,furniture/equipment,100 less than or equal and < 500DM,less than 1 year,4,co-applicant,1,unknown/no property,29,None,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,250.94444444444446,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,40,None,own,2,skilled employee /official,1,None,yes,0,66.04166666666667,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,bigger than or equal 7 years,4,guarantor,2,real estate,32,None,own,1,unskilled-resident,1,None,yes,0,72.27777777777777,male , married/windowed
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (new),100 less than or equal and < 500DM,bigger than or equal 7 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",28,None,own,2,skilled employee /official,2,"yes, registered under the customers name",yes,0,220.5,male , divorced/separated
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,4,None,1,if not real estate : building society savings agreement/life insurance,27,None,own,1,skilled employee /official,1,None,yes,1,130.125,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (used),less than 100DM,bigger than or equal 7 years,2,None,4,unknown/no property,42,None,for free,1,skilled employee /official,2,None,yes,0,152.58333333333334,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,radio/television,100 less than or equal and < 500DM,bigger than or equal 7 years,2,None,4,real estate,49,None,own,1,skilled employee /official,1,None,yes,0,125.11111111111111,male , divorced/separated
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),radio/television,100 less than or equal and < 500DM,less than 1 year,4,None,4,unknown/no property,38,bank,own,2,skilled employee /official,2,None,yes,1,50.666666666666664,male , single
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,4,None,4,if not real estate : building society savings agreement/life insurance,24,None,rent,1,skilled employee /official,1,None,yes,1,50.291666666666664,female , divorced/separated/married
no checking account,existing credits paind back duly till now,car (new),unknown / no savings account,1 less than or equal and less than 4 years,4,guarantor,4,if not real estate : building society savings agreement/life insurance,27,None,own,1,unskilled-resident,1,None,yes,1,130.9,male , single
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),car (used),500 less than or equal and 1000 DM,1 less than or equal and less than 4 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",36,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,157.33333333333334,male , single
0 less than or equal and less than 200 DM,all credits at this band paid back duly,car (new),100 less than or equal and < 500DM,unemployed,1,None,2,if not real estate : building society savings agreement/life insurance,34,None,own,1,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,1,456.6666666666667,male , single
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,2,if not real estate : building society savings agreement/life insurance,28,None,own,1,skilled employee /official,1,None,yes,0,58.875,male , married/windowed
no checking account,existing credits paind back duly till now,car (used),100 less than or equal and < 500DM,bigger than or equal 7 years,4,None,2,"if not others options : car or other, not in savings accounts/bonds",45,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,220.2051282051282,male , single
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,4,None,2,real estate,26,None,own,1,skilled employee /official,1,None,yes,1,63.25,male , single
no checking account,existing credits paind back duly till now,car (used),less than 100DM,1 less than or equal and less than 4 years,2,None,2,unknown/no property,32,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,130.16666666666666,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,business,less than 100DM,4 less than and equal and less than 7 years,2,None,4,if not real estate : building society savings agreement/life insurance,26,None,rent,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,179.13333333333333,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,co-applicant,4,real estate,20,None,rent,2,skilled employee /official,1,None,yes,0,48.75,male , married/windowed
no checking account,existing credits paind back duly till now,car (new),unknown / no savings account,less than 1 year,4,None,1,if not real estate : building society savings agreement/life insurance,54,None,own,1,skilled employee /official,1,None,yes,0,93.95833333333333,male , single
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,4 less than and equal and less than 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,37,None,own,2,skilled employee /official,1,None,no,0,101.5,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,less than 1 year,2,None,4,real estate,40,None,own,1,unskilled-resident,2,None,no,0,226.83333333333334,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,less than 1 year,2,None,4,if not real estate : building society savings agreement/life insurance,23,None,rent,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,197.97222222222223,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,bigger than or equal 7 years,3,None,2,if not real estate : building society savings agreement/life insurance,43,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,200.5,male , single
no checking account,critical account / other credits existing (not at this bank),radio/television,unknown / no savings account,bigger than or equal 7 years,4,None,4,unknown/no property,36,None,for free,2,skilled employee /official,1,None,yes,0,116.66666666666667,male , single
no checking account,critical account / other credits existing (not at this bank),reparis,less than 100DM,bigger than or equal 7 years,3,None,4,unknown/no property,44,None,for free,2,skilled employee /official,1,None,yes,0,229.45833333333334,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,2,None,2,real estate,24,None,own,1,skilled employee /official,1,None,yes,1,177.22222222222223,female , divorced/separated/married
less than 0 DM,no credits tanken/all credits paid back duly,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,3,None,4,unknown/no property,53,None,for free,2,skilled employee /official,2,None,yes,1,148.3125,male , single
no checking account,existing credits paind back duly till now,car (used),100 less than or equal and < 500DM,4 less than and equal and less than 7 years,3,None,4,"if not others options : car or other, not in savings accounts/bonds",23,None,own,1,skilled employee /official,1,None,yes,0,145.33333333333334,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,guarantor,4,real estate,26,None,own,1,unskilled-resident,2,None,yes,0,61.833333333333336,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (used),less than 100DM,less than 1 year,2,None,3,"if not others options : car or other, not in savings accounts/bonds",30,None,own,2,skilled employee /official,1,None,yes,0,306.38461538461536,male , single
no checking account,critical account / other credits existing (not at this bank),education,100 less than or equal and < 500DM,1 less than or equal and less than 4 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",31,None,own,1,skilled employee /official,1,None,yes,0,102.13333333333334,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,4 less than and equal and less than 7 years,2,None,1,real estate,42,None,own,2,unskilled-resident,2,None,yes,0,375.75,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",31,None,rent,1,skilled employee /official,1,None,yes,1,63.94444444444444,male , divorced/separated
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,less than 1 year,3,None,4,real estate,41,None,own,1,unskilled-resident,2,"yes, registered under the customers name",yes,0,110.33333333333333,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,education,less than 100DM,4 less than and equal and less than 7 years,3,None,1,"if not others options : car or other, not in savings accounts/bonds",32,None,own,2,skilled employee /official,2,None,yes,0,63.138888888888886,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),100 less than or equal and < 500DM,1 less than or equal and less than 4 years,2,None,4,"if not others options : car or other, not in savings accounts/bonds",28,None,rent,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,175.4,female , divorced/separated/married
no checking account,delay in paying off in the past,car (used),less than 100DM,1 less than or equal and less than 4 years,4,None,4,real estate,41,None,rent,1,skilled employee /official,1,None,yes,0,125.25,male , married/windowed
no checking account,existing credits paind back duly till now,radio/television,100 less than or equal and < 500DM,4 less than and equal and less than 7 years,4,None,3,if not real estate : building society savings agreement/life insurance,26,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,54.625,male , married/windowed
no checking account,existing credits paind back duly till now,radio/television,unknown / no savings account,less than 1 year,4,None,2,"if not others options : car or other, not in savings accounts/bonds",25,None,own,2,skilled employee /official,1,None,yes,0,129.375,male , single
bigger than 200DM / salary assignments for at least 1 year,critical account / other credits existing (not at this bank),education,less than 100DM,less than 1 year,2,None,1,"if not others options : car or other, not in savings accounts/bonds",33,None,rent,1,skilled employee /official,1,None,yes,1,110.42857142857143,male , divorced/separated
less than 0 DM,existing credits paind back duly till now,car (new),unknown / no savings account,unemployed,4,None,3,if not real estate : building society savings agreement/life insurance,75,None,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,229.0,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,bigger than or equal 7 years,3,None,4,if not real estate : building society savings agreement/life insurance,37,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,200.66666666666666,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,42,bank,for free,1,management/self-employed/highly qualified employee/officer,1,None,yes,1,161.72916666666666,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,1,None,1,if not real estate : building society savings agreement/life insurance,45,stores,own,1,unskilled-resident,1,None,yes,0,169.38888888888889,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,1,None,1,real estate,23,None,rent,1,skilled employee /official,1,None,yes,1,127.83333333333333,male , married/windowed
no checking account,delay in paying off in the past,car (new),less than 100DM,bigger than or equal 7 years,4,None,4,unknown/no property,60,None,for free,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,84.66666666666667,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,unknown / no savings account,bigger than or equal 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,31,None,own,1,skilled employee /official,1,None,yes,1,211.66666666666666,male , single
bigger than 200DM / salary assignments for at least 1 year,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,2,None,1,real estate,34,None,own,1,unskilled-resident,2,None,yes,1,159.11111111111111,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,4,None,4,real estate,61,None,own,2,unskilled-resident,1,None,yes,0,104.58333333333333,male , single
less than 0 DM,delay in paying off in the past,car (new),less than 100DM,unemployed,4,None,2,real estate,43,None,for free,2,skilled employee /official,2,None,yes,1,55.541666666666664,male , single
no checking account,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",37,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,0,84.25,female , divorced/separated/married
no checking account,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,3,None,1,"if not others options : car or other, not in savings accounts/bonds",32,bank,own,1,skilled employee /official,2,None,yes,0,64.66666666666667,male , single
less than 0 DM,all credits at this band paid back duly,radio/television,less than 100DM,1 less than or equal and less than 4 years,4,None,4,real estate,24,bank,own,1,unskilled-resident,1,None,yes,1,52.166666666666664,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),car (used),unknown / no savings account,4 less than and equal and less than 7 years,2,None,1,unknown/no property,35,None,for free,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,184.54166666666666,male , single
no checking account,critical account / other credits existing (not at this bank),reparis,unknown / no savings account,4 less than and equal and less than 7 years,4,None,4,real estate,23,None,own,2,skilled employee /official,1,None,yes,0,83.0,female , divorced/separated/married
no checking account,all credits at this band paid back duly,radio/television,500 less than or equal and 1000 DM,bigger than or equal 7 years,2,None,4,if not real estate : building society savings agreement/life insurance,45,bank,own,1,unskilled-resident,2,None,yes,0,291.6666666666667,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,1,guarantor,1,real estate,34,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,145.8125,male , married/windowed
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),100 less than or equal and < 500DM,less than 1 year,4,None,1,"if not others options : car or other, not in savings accounts/bonds",27,None,own,1,skilled employee /official,1,None,yes,0,166.25,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,education,less than 100DM,4 less than and equal and less than 7 years,4,None,4,if not real estate : building society savings agreement/life insurance,67,None,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,133.22222222222223,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,less than 1 year,2,None,1,"if not others options : car or other, not in savings accounts/bonds",22,stores,own,1,skilled employee /official,1,None,yes,1,110.91666666666667,male , single
0 less than or equal and less than 200 DM,no credits tanken/all credits paid back duly,car (new),100 less than or equal and < 500DM,less than 1 year,3,None,3,"if not others options : car or other, not in savings accounts/bonds",28,None,own,2,skilled employee /official,1,None,yes,1,126.55555555555556,female , divorced/separated/married
no checking account,no credits tanken/all credits paid back duly,car (new),unknown / no savings account,1 less than or equal and less than 4 years,1,None,4,if not real estate : building society savings agreement/life insurance,29,bank,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,1,238.23809523809524,female , divorced/separated/married
less than 0 DM,all credits at this band paid back duly,furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,3,None,4,"if not others options : car or other, not in savings accounts/bonds",27,bank,own,1,skilled employee /official,1,None,yes,1,148.0,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,less than 1 year,2,None,2,real estate,31,None,own,2,unskilled-resident,1,None,yes,1,107.11111111111111,male , single
less than 0 DM,existing credits paind back duly till now,car (used),unknown / no savings account,bigger than or equal 7 years,4,None,4,unknown/no property,49,bank,for free,1,skilled employee /official,2,"yes, registered under the customers name",yes,0,123.5,male , single
less than 0 DM,all credits at this band paid back duly,radio/television,less than 100DM,4 less than and equal and less than 7 years,4,guarantor,4,"if not others options : car or other, not in savings accounts/bonds",24,bank,rent,1,unskilled-resident,1,None,yes,1,64.41666666666667,male , single
bigger than 200DM / salary assignments for at least 1 year,delay in paying off in the past,radio/television,less than 100DM,less than 1 year,2,None,1,if not real estate : building society savings agreement/life insurance,29,bank,own,1,skilled employee /official,1,None,yes,0,113.83333333333333,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),unknown / no savings account,1 less than or equal and less than 4 years,1,None,4,unknown/no property,37,None,for free,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,344.1388888888889,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,business,unknown / no savings account,1 less than or equal and less than 4 years,4,None,2,if not real estate : building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,196.33333333333334,male , single
0 less than or equal and less than 200 DM,delay in paying off in the past,radio/television,100 less than or equal and < 500DM,4 less than and equal and less than 7 years,3,None,2,if not real estate : building society savings agreement/life insurance,23,None,rent,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,64.70833333333333,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,2,None,3,"if not others options : car or other, not in savings accounts/bonds",36,None,own,1,skilled employee /official,1,None,yes,1,114.33333333333333,male , divorced/separated
no checking account,critical account / other credits existing (not at this bank),radio/television,bigger than or equal 1000 DM,bigger than or equal 7 years,2,None,2,"if not others options : car or other, not in savings accounts/bonds",34,None,own,1,skilled employee /official,1,None,yes,0,107.41666666666667,male , single
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,unknown / no savings account,4 less than and equal and less than 7 years,4,None,1,"if not others options : car or other, not in savings accounts/bonds",41,None,own,2,skilled employee /official,2,"yes, registered under the customers name",yes,0,82.89583333333333,male , single
less than 0 DM,existing credits paind back duly till now,radio/television,less than 100DM,1 less than or equal and less than 4 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",31,None,own,1,skilled employee /official,1,"yes, registered under the customers name",yes,1,140.79166666666666,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,less than 1 year,4,None,4,real estate,23,None,rent,1,unskilled-resident,1,"yes, registered under the customers name",yes,1,134.75,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),radio/television,less than 100DM,4 less than and equal and less than 7 years,3,co-applicant,2,"if not others options : car or other, not in savings accounts/bonds",38,None,own,1,skilled employee /official,1,None,yes,0,198.46666666666667,male , single
no checking account,existing credits paind back duly till now,car (used),unknown / no savings account,unemployed,2,None,4,if not real estate : building society savings agreement/life insurance,26,None,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,226.375,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,business,less than 100DM,1 less than or equal and less than 4 years,4,None,4,if not real estate : building society savings agreement/life insurance,22,None,own,1,unskilled-resident,1,None,yes,0,53.733333333333334,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,bigger than or equal 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",27,None,own,2,unskilled-resident,1,None,yes,0,120.22222222222223,male , single
no checking account,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,4 less than and equal and less than 7 years,2,co-applicant,3,"if not others options : car or other, not in savings accounts/bonds",24,bank,own,2,skilled employee /official,1,None,yes,0,185.86666666666667,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,radio/television,less than 100DM,4 less than and equal and less than 7 years,2,None,1,real estate,27,None,own,1,skilled employee /official,1,None,yes,0,244.16666666666666,female , divorced/separated/married
no checking account,critical account / other credits existing (not at this bank),education,unknown / no savings account,1 less than or equal and less than 4 years,3,None,2,"if not others options : car or other, not in savings accounts/bonds",33,None,own,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,80.29166666666667,female , divorced/separated/married
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,less than 1 year,4,None,4,"if not others options : car or other, not in savings accounts/bonds",27,None,own,2,skilled employee /official,1,None,yes,1,78.33333333333333,male , divorced/separated
no checking account,existing credits paind back duly till now,retraining,less than 100DM,less than 1 year,4,None,3,"if not others options : car or other, not in savings accounts/bonds",27,None,own,2,unskilled-resident,1,None,yes,0,39.041666666666664,male , married/windowed
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,bigger than or equal 7 years,3,guarantor,3,real estate,30,bank,own,2,skilled employee /official,1,None,yes,1,58.666666666666664,male , single
0 less than or equal and less than 200 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,less than 1 year,1,None,3,real estate,49,bank,own,2,unskilled-resident,2,None,yes,0,260.3333333333333,male , single
no checking account,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,None,2,real estate,26,None,rent,1,skilled employee /official,1,None,yes,0,154.22222222222223,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,reparis,less than 100DM,less than 1 year,4,None,1,unknown/no property,33,None,rent,1,unskilled-resident,1,None,yes,1,66.22222222222223,male , single
no checking account,existing credits paind back duly till now,car (new),unknown / no savings account,bigger than or equal 7 years,4,None,4,unknown/no property,52,None,for free,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,0,177.75,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,1,None,4,real estate,20,bank,rent,1,skilled employee /official,1,None,yes,1,113.27777777777777,female , divorced/separated/married
less than 0 DM,critical account / other credits existing (not at this bank),car (new),less than 100DM,1 less than or equal and less than 4 years,2,None,2,real estate,36,None,rent,2,skilled employee /official,2,None,yes,0,311.0,male , single
less than 0 DM,existing credits paind back duly till now,furniture/equipment,less than 100DM,1 less than or equal and less than 4 years,4,guarantor,1,if not real estate : building society savings agreement/life insurance,21,None,own,1,unskilled-resident,1,None,yes,0,107.41666666666667,male , single
less than 0 DM,existing credits paind back duly till now,domestic appliances,less than 100DM,1 less than or equal and less than 4 years,4,None,3,real estate,47,None,own,1,unskilled-resident,1,"yes, registered under the customers name",yes,1,67.61111111111111,male , married/windowed
less than 0 DM,critical account / other credits existing (not at this bank),furniture/equipment,less than 100DM,bigger than or equal 7 years,3,None,3,if not real estate : building society savings agreement/life insurance,60,None,own,2,skilled employee /official,1,None,yes,1,187.16666666666666,male , single
less than 0 DM,critical account / other credits existing (not at this bank),radio/television,less than 100DM,4 less than and equal and less than 7 years,4,None,3,real estate,58,None,own,4,unskilled-resident,1,"yes, registered under the customers name",yes,0,32.083333333333336,female , divorced/separated/married
0 less than or equal and less than 200 DM,delay in paying off in the past,car (new),unknown / no savings account,1 less than or equal and less than 4 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",42,None,rent,2,skilled employee /official,1,"yes, registered under the customers name",yes,0,81.875,female , divorced/separated/married
no checking account,existing credits paind back duly till now,business,bigger than or equal 1000 DM,bigger than or equal 7 years,4,None,4,real estate,36,bank,own,1,unskilled-resident,1,None,yes,0,74.85714285714286,female , divorced/separated/married
0 less than or equal and less than 200 DM,existing credits paind back duly till now,car (new),less than 100DM,1 less than or equal and less than 4 years,3,None,4,if not real estate : building society savings agreement/life insurance,20,None,rent,1,unskilled-resident,1,"yes, registered under the customers name",yes,1,113.25,female , divorced/separated/married
less than 0 DM,all credits at this band paid back duly,others,unknown / no savings account,bigger than or equal 7 years,4,None,3,"if not others options : car or other, not in savings accounts/bonds",40,stores,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,1,56.583333333333336,male , single
0 less than or equal and less than 200 DM,all credits at this band paid back duly,car (new),100 less than or equal and < 500DM,less than 1 year,1,None,1,if not real estate : building society savings agreement/life insurance,32,stores,own,1,unskilled-resident,1,None,yes,1,155.16666666666666,female , divorced/separated/married
less than 0 DM,existing credits paind back duly till now,car (new),less than 100DM,4 less than and equal and less than 7 years,4,None,4,"if not others options : car or other, not in savings accounts/bonds",23,None,rent,2,skilled employee /official,1,None,yes,1,60.083333333333336,female , divorced/separated/married
